g_m_date,g_land_avg_tempf,g_land_avg_tempc,g_land_avg_temp_uncert,g_land_max_tempf,g_land_max_tempc,g_land_max_temp_uncert,g_land_min_tempf,g_land_min_tempc,g_land_min_temp_uncert,g_land_ocean_avg_tempf,g_land_ocean_avg_tempc,g_land_ocean_avg_temp_uncert
1862-05-01,51.330200000000005,10.739,0.58,64.1372,17.854000000000006,1.311,42.215,5.6750000000000025,1.496,60.2744,15.708,0.26
1862-06-01,55.147999999999996,12.86,0.535,65.37020000000001,18.539,1.8430000000000002,44.231,6.795,1.187,61.428200000000004,16.349,0.244
1862-07-01,57.07040000000001,13.928,0.445,69.1934,20.663,1.9980000000000002,48.578,9.21,1.8619999999999999,61.8674,16.593,0.23199999999999998
1862-08-01,55.7384,13.188,0.504,67.289,19.605,1.258,46.5548,8.085999999999999,1.3330000000000002,61.35079999999999,16.305999999999994,0.247
1862-09-01,51.85039999999999,11.027999999999999,0.519,64.47560000000001,18.042,0.961,43.0214,6.122999999999998,1.189,60.418400000000005,15.788,0.245
1862-10-01,46.9094,8.283,0.618,59.248400000000004,15.138,1.9609999999999999,37.841,3.245,1.0490000000000002,58.8236,14.902000000000001,0.26899999999999996
1862-11-01,40.6256,4.792,0.7509999999999999,53.4002,11.889,2.008,32.4392,0.24399999999999994,1.5830000000000002,56.8112,13.784,0.31
1862-12-01,34.9214,1.6230000000000002,1.01,48.9236,9.402,2.597,28.8554,-1.747,1.5719999999999998,54.9176,12.732,0.3720000000000001
1863-01-01,37.4612,3.0340000000000003,1.228,47.2316,8.462,3.188,28.8212,-1.766,2.51,55.9328,13.296,0.41700000000000004
1863-02-01,37.8554,3.253,1.099,48.036199999999994,8.908999999999997,1.653,28.201999999999998,-2.1100000000000003,1.393,56.5412,13.634,0.389
1863-03-01,40.4276,4.682,0.7829999999999999,50.6336,10.352,1.234,30.4646,-0.853,1.3619999999999999,57.2108,14.005999999999998,0.312
1863-04-01,46.2758,7.930999999999999,0.792,57.6626,14.257,2.117,34.9556,1.642,1.2309999999999999,59.018,15.01,0.319
1863-05-01,51.9458,11.081,0.687,62.598200000000006,16.999000000000002,2.396,42.650600000000004,5.9170000000000025,1.777,60.4814,15.823,0.281
1863-06-01,55.0292,12.794,0.542,64.7636,18.202,2.013,46.265,7.9250000000000025,1.462,61.2032,16.224,0.266
1863-07-01,56.777,13.765,0.642,64.571,18.095,1.943,46.952600000000004,8.307,0.89,61.835,16.575,0.301
1863-08-01,55.9292,13.294,0.523,65.1344,18.408,1.931,46.099399999999996,7.8329999999999975,0.927,61.586600000000004,16.437,0.276
1863-09-01,52.214,11.23,0.556,60.638000000000005,15.910000000000002,1.161,41.7902,5.439,1.391,60.6164,15.898,0.28300000000000003
1863-10-01,46.823,8.235,0.521,57.0992,13.944,1.375,37.9076,3.282,0.7909999999999999,58.9604,14.978,0.278
1863-11-01,41.705600000000004,5.392,0.515,52.431799999999996,11.350999999999999,1.255,32.315,0.17499999999999993,1.319,57.1856,13.992,0.287
1863-12-01,36.7718,2.651,1.088,47.39,8.55,1.828,27.3452,-2.5860000000000003,1.09,56.040800000000004,13.356,0.387
1864-01-01,34.7918,1.551,0.8759999999999999,44.7278,7.0710000000000015,1.5030000000000001,25.0736,-3.848,1.7890000000000001,55.182199999999995,12.879,0.332
1864-02-01,36.5108,2.506,1.05,47.3756,8.542,1.51,26.8592,-2.8560000000000003,1.565,55.894999999999996,13.275,0.3720000000000001
1864-03-01,40.3718,4.651,0.767,53.1446,11.747,1.8330000000000002,30.695,-0.7250000000000001,1.6880000000000002,57.182,13.99,0.307
1864-04-01,45.527,7.515,0.622,56.111000000000004,13.395,1.09,34.997,1.665,1.374,58.694,14.83,0.29100000000000004
1864-05-01,51.7208,10.956,0.531,62.434400000000004,16.908,0.935,40.7282,4.849,0.8390000000000001,60.531800000000004,15.850999999999999,0.282
1864-06-01,56.057,13.365,0.73,65.2226,18.457,1.541,46.236200000000004,7.9090000000000025,0.7609999999999999,61.682,16.490000000000002,0.285
1864-07-01,57.491600000000005,14.162,0.57,65.89580000000001,18.831,1.3330000000000002,45.343399999999995,7.4129999999999985,0.846,62.087,16.715,0.256
1864-08-01,56.181200000000004,13.434,0.5660000000000001,66.03620000000001,18.909,0.8740000000000001,45.5828,7.5459999999999985,0.7979999999999999,61.6892,16.494,0.25
1864-09-01,52.465999999999994,11.37,0.546,62.71340000000001,17.063000000000002,1.188,42.2978,5.721,0.9390000000000001,60.53,15.85,0.271
1864-10-01,47.831,8.795,0.484,59.0846,15.047,1.651,37.842800000000004,3.2460000000000004,1.6059999999999999,58.949600000000004,14.972000000000001,0.251
1864-11-01,41.4176,5.232,0.6990000000000001,54.503600000000006,12.502,1.611,33.197,0.6649999999999999,2.153,57.4538,14.140999999999998,0.281
1864-12-01,36.0788,2.266,0.6759999999999999,47.399,8.555,1.04,27.206599999999998,-2.6630000000000003,1.547,55.8878,13.271,0.276
1865-01-01,37.355000000000004,2.975,0.956,47.91380000000001,8.841000000000003,1.331,26.2184,-3.212,1.962,56.305400000000006,13.503,0.348
1865-02-01,35.8736,2.152,0.8320000000000001,48.0398,8.911,1.17,26.389400000000002,-3.117,1.6059999999999999,56.3108,13.505999999999998,0.32899999999999996
